Make,Car Model,Year Model,OE Battery ,Energizer Replacement,bestbuy id
NISSAN,Sentra,2015,NS60,B24LS,1988/1985
NISSAN,Sulphy,2015,NS50,D23L,1983
NISSAN,Serena 250 L,2004 - on,NS50,D26L,1995
NISSAN,Serena 250 E,2004 - on,NS50,D26L,1995
NISSAN,2005X,,NS50,D26L,1995
NISSAN,350Z,,NS50,D23L,1983
NISSAN,370Z,,NS50,D23L,1983
NISSAN,Sunny Pick Up,1991 - 1997 ,NS50,D23L,1983
NISSAN,Teana 2.3 L 230 JK,,NS50,D23L,1983
NISSAN,TEana 2.3 L 230 JMY,,NS50,D23L,1983
NISSAN,Terrano,1995 - on,N70,D31R,1998
MITSUBISHI,Strada GL,1988 - on,N70,D31L,1996
MITSUBISHI,Strada GLX,1988 - on,N70,D31L,1996
MITSUBISHI,Strada GLS Sports ,1988 - on,N70,D31L,1996
MITSUBISHI,Strada GLS Sports Custom Edition,1988 - on,N70,D31L,1996
MITSUBISHI,Strada GX GLX GLS (New Body),2015,N70,D31L,1996
MITSUBISHI,L300 (Diesel),1987- on,N70,D31L,1996
MITSUBISHI,L300 (Gasoline),1987- on,NS50,D26L,1995
MITSUBISHI,L300 Versa Van,,N70,D31L,1996
MITSUBISHI,Lancer (Box Type),1983 - 88,NS50,D23L,1983
MITSUBISHI,Lancer 2.0,2006,NS50,D23L,1983
MITSUBISHI,Lancer EL/GL/GLI,1989 - on,NS60,B24L,1986/1993
MITSUBISHI,"Lancer Evolution (IV, V VI, VII, VIII, IX & X)",1995 - on ,NS40,B20L,1990
MITSUBISHI,Lancer GLXI/GLX/GSR/ SOHC*,1989 - on ,NS50L,D23L,1983
MITSUBISHI,Lancer MX*,2000 - on,NS50L,D23L,1983
MITSUBISHI,Lancer MX*,2004 - 2007 ,NS60,B24LS,1988/1985
MITSUBISHI,Lancer GLX M/T,2009,NS50L,D23L,1983
MITSUBISHI,Lancer GLS CVT,2009,NS50L,D23L,1983
MITSUBISHI,Lancer Ex (GS41; GLX/MX/GT/GT-A/Ralli-Art),,NS50L,D23L,1983
MITSUBISHI,Outlander GLX,2004 - on,NS50,D23L,1983
MITSUBISHI,Outlander GLS,2004 - on,NS50,D23L,1983
MITSUBISHI,Outlander GLS Sports,2004 - on,NS50,D23L,1983
MITSUBISHI,Pajero (Diesel),1988 - on,N70,D31L,1996
MITSUBISHI,Pajero (Gasoline),1988 - on,N50,D26L,1995
MITSUBISHI,Pajero SE,,N70,D31L,1996
MITSUBISHI,Montero Sports 4x2 ,,N70,D31L,1996
MITSUBISHI,Montero Sports GLS,,N50,D31L,1996
MITSUBISHI,Montero Sports GLS (Depending on Tray Size),2014,N50,D26L,1995
MITSUBISHI,Montero Sport 2.4 Li MIVEC Euro4,2010,N50,D26L,1995
MITSUBISHI,Montero Sport 2.4 Li MIVEC Euro4,2016,N50,D31L,1996
MITSUBISHI,Spacegear,2004,NS50,D23L,1983
MITSUBISHI,Spacegear**,,N50,D26L,1995
MITSUBISHI,Space Wagon,1993 -on,N50,D26L,1995
MERCEDES BENZ,A Class ,,DIN66,,2004
MERCEDES BENZ,B Class,,DIN66,,2004
MERCEDES BENZ,C Class,1995 - on,DIN66,,2004
MERCEDES BENZ,C230,2006,DIN88,,2003
MERCEDES BENZ,CL Class,2006,DIN88,,2003
MERCEDES BENZ,CLK Class,,DIN88,,2003
MERCEDES BENZ,CLS Class,,DIN88,,2003
MERCEDES BENZ,E Class,1995 - on,DIN88,,2003
MERCEDES BENZ,G Class,,DIN110,,
MERCEDES BENZ,GL Class ,,DIN88,,2003
MERCEDES BENZ,M Class (GLE),1996 - on,N70,,
MERCEDES BENZ,GLE Coupe,2015,DIN77,,
MERCEDES BENZ,ML 350/500 (GLE),,DIN88,,2003
MERCEDES BENZ,GLC (Old GLK220),,DIN88,,2003
MERCEDES BENZ,R Class,,DIN88,,2003
MERCEDES BENZ,S Series,2006,DIN88,,2003
MERCEDES BENZ,SL Class,,DIN88,,2003
MERCEDES BENZ,SLK,1997 - on,DIN66,,2001
MERCEDES BENZ,SLK,2013 to Present ,DIN110,,
MERCEDES BENZ,SLS,2013 to Present ,DIN110,,
MERCEDES BENZ,AMG - GT,2013 to Present ,DIN110,,
MERCEDES BENZ,Viano,,,,
MITSUBISHI,Adventure GLX,1999 - on,N70,D31L,1996
MITSUBISHI,Adventure GX,1999 - on,N70,D31L,1996
MITSUBISHI,Adventure GLS Sports,1999 - on,N70,D31L,1996
MITSUBISHI,Adventure Super Sports ,1999 - on,N70,D31L,1996
MITSUBISHI,ASX 2.0 GLX MT,,NS50L,D23L,1983
MITSUBISHI,ASX 2.0 GLS 4X2 CVT,2011,NS50L,D23L,1983
MITSUBISHI,ASX 2.0 GLS 4X4 CVT,,NS50L,D23L,1983
MITSUBISHI,Endeavor ,2007 - on,G34,G34/78,
MITSUBISHI,Eclipse GT,,N50,D26L,1995
MITSUBISHI,Exceed (Diesel),,N70,D31L,1996
MITSUBISHI,Exceed (Gasoline),,NS50 ,D23L,1983
MITSUBISHI,Fuzion GLS Sports ,2007 - on,NS50,D23L,1983
MITSUBISHI,Fuzion GLX,,,,1983
MITSUBISHI,Galant,1989 - on,N50,D26L,1995
MITSUBISHI,Galant (2.4 Mivec),2006,N50,D26L,1995
MITSUBISHI,Grandis,2005 - on,NS50,D23L,1983
MASERATI,Quattroporte,2003 - 2012 ,DIN88,,2003
MASERATI,Quattroporte,2013 - on,DIN88,,2003
MASERATI,Gran Turismo,2007 - on ,DIN88,,2003
MASERATI,Ghibu (M157),2013 - on,DIN88,,2003
MAZDA,323,1993 - on,NS50,D23L,1983
MAZDA,626,1993 - on,N50,D26L,1995
MAZDA,Astina,,NS50,D23L,1983
MAZDA,B2200 Pick-up,1989 - 1986 ,N70,D31L,1996
MAZDA,B2500 Pick-up,1989 - on,N70,D31L,1996
MAZDA,BT50,,N70,D31R,1998
MAZDA,CX-7,,NS50L,D23L,1983
MAZDA,CX9,2007 - on,N50,D26L,1995
MAZDA,Lantis,,NS60,B24L,1986/1993
MAZDA,Mazda 2,,NS60,B24L,1986/1993
MAZDA,Mazda 3,2004,NS50,D23L,1983
MAZDA,Mazda 3 2.0,,NS50,D23L,1983
MAZDA,Mazda 6,2004,NS50,D23L,1983
MAZDA,Mazda 6 2.3,,NS50,D23L,1983
MAZDA,Mazda 6,2007 - on,NS50,D23L,1983
MAZDA,MPV,1996 - 1999,N70,D31L,1996
MAZDA,MX-5 Miata,2007 - on ,NS60L,B24L,1986/1993
MAZDA,Power Van E2000 GS 2L,1992 - 1999,NS50,D23L,1983
MAZDA,Tribute,2004,N50,D26L,1995
MAZDA,BT-50 2.2Li 4x2,2011,DIN66,DIN66,2001/2004
MAZDA,BT-50 3.2Li 4x4,2011,DIN77,DIN77,
MAZDA,Mazda 6 Skyactiv,2012,NS50 S/S,,
MAZDA,CX-5,2013,NS50 S/S,,
MAZDA,Mazda3 Skyactiv,2014,NS50 S/S,,
MAZDA,Mazda2 Skyactiv,2014,NS60,D23L,1983
MAZDA,MX-5 Miata,2015,NS60 S/S,For Development,
KIA,Pregio 2.2L (Diesel),1994 - 2000 ,N70,D31L,1996
KIA,Pride,1990 - 2000 ,NS50,D23L,1983
KIA,Rio 1.4L EX Sedan AT,       2007 - on,NS50L,L23L,
KIA,Rio 1.4L EX Sedan MT,       2007 - on,NS50L,L23L,
KIA,Sedona,2004,N70,D31L,1996
KIA,Sorento,2004,N50,D26L,1995
KIA,Sorento 7 Seater AT,2007 - on,NX-20,NX-120L,
KIA,Soul Gas ,,NS50L,L23L,
KIA,Sportage 2.0L Gas AT,2007 - on,NS50L,L23L,
KIA,Sportage 2.0L LDSL AT CRDi 4x2,2007 - on,N70R,L31R,
KIA,Sportage 2.0L LDSL AT CRDi 4x4,2007 - on,N70,L31L,
LAMBORGHINI,Countach LP400-P,1994 - 1990 ,DIN70,DIN77,
LAMBORGHINI,Diablo,1990 - 2001,DIN70,DIN77,
LAMBORGHINI,Murcialego ,2001 - 2010,DIN100,,
LAMBORGHINI,Aventador,2011 - on,DIN100,,
LAMBORGHINI,Gallardo,2003 - 2013 ,DIN100,,
LAMBORGHINI,Hurracan ,2014 - on,DIN100,,
LAND ROVER,LR2,1996 - 190,N50,,
LAND ROVER,LR3,1996 - 190,N50,,
LAND ROVER,"Range Rover (4,4,4.6is,4.Bis)",,DIN66,,2004
LAND ROVER,Range Rover Sport,,DIN66,,2004
LEXUS,ES350,,N50L,D26L,1995
LEXUS,GS460,,N50L,D26L,1995
LEXUS,IS300/350,,N50L,D26L,1995
LEXUS,IS300C,,N50L,D26L,1995
LEXUS,LS460 (5-Seater),,N50L,D26L,1995
LEXUS,LS460 (4-Seater),,N50L,D26L,1995
LEXUS,LX570,,N70L,D31L,1996
LEXUS,RX350,,N70L,D31L,1996
LEXUS,NX2.0Li,2015,N70L,D31L,1996
LEXUS,RX3.5Li,2015,N70L,D31L,1996
LEXUS,RC350/RC-F,2015,N50,D26L,1995
ISUZU,D-Max 3.0 iTEQ 4x2,,N50,D26L,1995
ISUZU,D-Max 3.0 iTEQ 4x4,,N70,D31L,1996
ISUZU,D-Max 2.5Li 4x2/3.0Li 4x4 (New Gen Bod) ,2004 - on,N50,D26L,1995
ISUZU,FSR 345L/FVR345L,,N50,D26L,1995
ISUZU,FTR,1995 - 2000,N50,D26L,1995
ISUZU,Fuego,1998 - on,N70,D31L,1996
ISUZU,Highlander , 1996 - on,NS50,D23L,1983
ISUZU,NHR/NKR,,NS50,D23L,1983
ISUZU,NHR/NKR,2014,N50x2,D26L/R,
ISUZU,NQR,,NS50,D23R,
ISUZU,Pick-up  (All Models),1990 - on,N70,D31L,1996
ISUZU,Sportivbo,,NS50,D23L,1983
ISUZU,Tropper (Diesel),1996 - on,N70,D31R,1998
ISUZU,Tropper (Gasoline),1996- on,N70,D31R,1998
JAGUAR,Jaguar S-Type,,DIN88,,2003
JAGUAR,Jaguar XK-Type,,DIN88,,2003
JAGUAR,Jaguar XKR-Type,,DIN110,,
JAGUAR,Jaguar XS-Type,,DIN88,,2003
JAGUAR,Jaguar X-Type,,DIN88,,2003
JAGUAR,Jaguar XI-Type,,DIN110,,
JAGUAR,Jaguar XIR-Type,,DIN110,,
KIA,Besta 2.2L (Diesel),1994 - 2004 ,N70,D31L,1996
KIA,Carens 2.0 Li Gas EX AT, ,NS50L,L23L,
KIA,Carens 2.0 Li LX CRDI AT,2007 - on,N70,L31L ,
KIA,Carens 2.0 Li EX CRDI AT,,N70,L31L ,
KIA,Carnival,200 - on,N70,D31L,1996
KIA,Carnival LX MT CRDi (SWB) 8 Seater,2007 - on,N87L,N87L,
KIA,Carnival LX AT CRDi (SWB) 8 Seater,2007 - on,N87L,N87L,
KIA,Carnival LX AT CRDi (LWB),2007 - on,N87L,N87L,
KIA,Carnival EX AT CRDi (SWB) 8 Seater,2007 - on,N87L,N87L,
KIA,Carnival EX AT CRDi (LWB) ,2007 - on,N87L,N87L,
KIA,KIA Forte,,,L23L,
KIA,K2700,,,N87L,
KIA,Mojave Gas,,,L26L,
KIA,Picanto DLX MT ,2007 - on,NS40L,B21L,
KIA,Picanto DLX AT ,2007 - on,NS40L,B21L,
,,,,,1995
HYUNDAI,Grace (Gasoline,1995 - on,N50,D26L,1998
HYUNDAI,08 Grand Starex TCI GL MT 10,2007 - on ,N70,D31R,1998
HYUNDAI,08 Grand Starex TCI GL MT 12,2007 - on ,N70,D31R,1998
HYUNDAI,08 Grand Starex TCI GLS AT 10,2007 - on ,N70,D31R,1998
HYUNDAI,08 Grand Starex CRDi VGT GLS MT 10S,2007 - on ,N70,D31R,1998
HYUNDAI,08 Grand Starex CRDi VGT GLS MT 12S,2007 - on ,N70,D31R,1998
HYUNDAI,08 Grand Starex CRDi VGT GLS AT 12S,2007 - on ,N70,D31R,1998
HYUNDAI,08 Grand Starex CRDi VGT Gold AT 10S,2007 - on ,N70,D31R,1998
HYUNDAI,08 Grand Starex CRDi VGT GLS AT 5S 10S,2007 - on ,N70,D31R,1996
HYUNDAI,H100/Grace,1995 - on,N70,D31L,1996
HYUNDAI,Porter 2.6 Diesel (Cab Chasis),,N70,D31L,1996
HYUNDAI,Porter 2.6 Diesel (Shuttle),,N70,D31L,1996
HYUNDAI,Porter 2.6 Diesel (Closed Van),,N70,D31L,1996
HYUNDAI,Porter 2.6 Diesel (Drop Side),,N70,D31L,1996
HYUNDAI,Porter 2.6 Diesel (XG),,N70,D31L,
HYUNDAI,i10 1.1 GL NT,,NS40,B21L,
HYUNDAI,i10 1.1 GLS MT,,NS40,B21L,
HYUNDAI,i10 1.1 GLS AT,,NS40,B21L,
HYUNDAI,i10 1.2 GLS MT,,NS40,B21L,
HYUNDAI,i10 1.2 GLS AT,,NS40,B21L,
HYUNDAI,i20,,NS40,B21L,1986/1993
HYUNDAI,i30,,NS60,B24L,1983
HYUNDAI,Matrix (1.6 Gas),,D20,D23L,
HYUNDAI,Matrix (CRDi Diesel),2004 - on,N50,L26L,1996
HYUNDAI,Santa Fe 2.7 GLS 4x4 AT Gas,2005 - on,N70,D31L,
HYUNDAI,Santa Fe 2.2 GLS 4x4 AT CRDi DSL,2005 - on,N70,L31L,
HYUNDAI,Santa Fe 2.2 GLS 4x2 AT CRDi DSL,2005 - on,N70,L31L,1995
HYUNDAI,Sonata GLS 2.7 Gas AT,1996 - on,N50,D26L,1995
HYUNDAI,Sonata GLS 2.4 Gas AT,1996 - on,N50,D26L,
HYUNDAI,Tucson 2.0 Gas 4x2 AT,2004 - on,NS50L,L23L,
HYUNDAI,Tucson 2.0 Gas 4x2 MT,2004 - on,NS50L,L23L,
HYUNDAI,Tucson CRDi DSL 4x4 AT,2004 - on,N70,L31L,
HYUNDAI,Tucson CRDi DSL 4x2 AT,2004 - on,N70,L31L,
HYUNDAI,Tucson CRDi DSL 4x4 AT,2010,N70R,L31R,
HYUNDAI,Tucson CRDi DSL 4x2 AT,2010,N70R,L31R,
HYUNDAI,Vera Cruz GLS 3.0 V6 CRDi DSL AT 4x4,2006 - on,N87L,N87L,1996
ISUZU,Alterra,,N70,D31L,1996
ISUZU,Alterra Zen,,N70,D31L,1996
ISUZU,Alterra Urvan Cruiser ,,N70,D31L,1995
ISUZU,Mu-X 2.5Li 4x2/3.0Li 4x4,2014 - on,N50,D26L,1983
ISUZU,Cross-Wind,,NS50,D23L,1988/1985
HONDA,New Civic 1.8 V MT,2008,NS60,B24LS,1988/1985
HONDA,New Civic 1.8 V AT,2008,NS60,B24LS,1988/1985
HONDA,New Civic 1.8 S MT,2008,NS60,B24LS,1988/1985
HONDA,New Civic 1.8 AT,2008,NS60,B24LS,1988/1985
HONDA,New Civic 2.0S AT,2008,NS60,B24LS,1988/1985
HONDA,New Civic 2.0S AT,2016,NS60,B24LS,1986/1993
HONDA,CIVIC,1991 - 2000,NS60,B24L,1988/1985
HONDA,,2002 - 2006 ,NS60,B24LS,1988/1985
HONDA,,2006*,NS60,B24LS,
HONDA,Civic 1.6L,2001 - 2006,NS60,B24RS,
HONDA,Civic 1.8L,2007 - on,NS40L,B20LS,1988/1985
HONDA,Civic 1.8 & 2.0,2007,NS60,B24LS,1988/1985
HONDA,CRV,1997 - on,NS60,B24LS,1988/1985
HONDA,CR-V 2.0-2.4,2007 - on,NS60L,B24LS,1988/1985
HONDA,HRV,2000 - on,NS60,B24LS,1995
HONDA,Legend ,1994 - 1995,N50,D26L,1995
HONDA,Lergend ,2016,N50,D26L,1995
HONDA,Odyssey,1987 - 2013,N50,D26L,1999
HONDA,Odyssey (with Start - Stop Option),2014 - on,Q65 (D23L),EFB D23L,1995
HONDA,Pilot ,,N50,D26L,
HONDA,All New Pilot,2016,Q?(D26L),For Development,1983
HONDA,S2000,,NS50,D23L,
HYUNDAI,Accent GL 1.5 CRDi MT,2004 - on,N50,L26L,
HYUNDAI,Accent GLS 1.5 CRDi MT,2004 - on,N50,L26L,
HYUNDAI,Accent GL 1.5 CRDi MT,2013 to Present,DIN55,DIN55,
HYUNDAI,Accent GLS 1.5 CRDi MT,2013 to Present,DIN55,DIN55,
HYUNDAI,Azera GLS 3.3 AT,2004 - on,N50,L26L,
HYUNDAI,Elantra GLS 1.6 CRDi,1996 - on,D20,DIN55,
HYUNDAI,Elantra GLS 1.6-1.8 Gas,2011 to Present,D20,DIN55,1983
HYUNDAI,Coupe GLS 2.0 Gas AT,1996 - on,NS50,D23L,1983
HYUNDAI,Coupe GLS 2.7 V6 AT,1996 - on,NS50,D23L,1983
HYUNDAI,Excel,1993 - 1999,NS50,D23L,
HYUNDAI,Genesis 3.8 V6 GLS AT,,N50L,L26L,1983
HYUNDAI,Genesis Coupe 2.0 Turbo 6 MT,,NS50L,D23L,
HYUNDAI,Genesis Coupe 3.8 V6 6 MT,,N50L,L26L,
HYUNDAI,Genesis Turbo SAT,,N50L,L26L,1995
HYUNDAI,GETZ CRDi 1.5 MT (FL),2004 - 2009,N50,D26L,1983
HYUNDAI,GETZ Gas 1.1 MT,2003 - 2009,D20,D23L,1995
FORD,Escape 2.0L/3.0L,2003 - on,N50,D26L,1983
FORD,Escape 2.3L,1996 - 2000,NS50,D23L,1983
FORD,,2007 - on,NS50,D23L,1998
FORD,Ranger 2.5/3.0 Durator Q,2007 - on,N70,D31R,2001/2004
FORD,All New Ranger T6 2.2,2012 - on,DIN66,DIN66,
FORD,All NEw Ranger T6 3.2 4x4,2012 - on,DIN77,DIN77,
FORD,Sport Trac (4x4),,G65,G65,1998
FOTON,Blizzard,,N70,D31R,1998
FOTON,MPX,,N70,D31R,1986/1993
HAIMA,Haima1 Sub-Compact,,NS60,B24L,1986/1993
HAIMA,Haima2 Sub-Compact,,NS60,B24L,1983
HAIMA,M3,,NS50,D23L,1986/1993
HAIMA,SS Crossover,,NS60,B24L,1983
HAIMA,Haima7,,NS50,D23L,1986/1993
HAIMA,F-Star (All Variants),,NS60,B24L,1986/1993
HONDA,Accord,1992 - 1997 ,NS60,B24L,1986/1993
HONDA,,1998 - on,NS50,B24L,1988/1985
HONDA,Accord 2.0L,2004,NS60,B24LS,1995
HONDA,Accord 3.0L,2004,N50,D26L,1983
HONDA,New Accord 2.4S AT,2004 - on,NS50,D23L,
HONDA,New Accord 3.5S -V AT V6,,NS50,D263L,1995
HONDA,New Accord 3.5S (8-Gen & 9-Gen),2008 to Present,N50,D26L,
HONDA,Brio,2014 - on,34B17L,,
HONDA,Brio-Amaze,2015 - on,34B17L,,
HONDA,Mobilio,2015 - on,34B17L,,
HONDA,BR-V,2016,34B17L,,1990
HONDA,All New City 1.3 A MT,2008,NS40L,B20L,1990
HONDA,All New City 1.3 S MT,2008,NS40L,B20L,1990
HONDA,All New City 1.3 S AT,2008,NS40L,B20L,1990
HONDA,All New City 1.5 E AT,2008,NS40L,B20L,1990
HONDA,All New Jazz 1.3 S MT,2008,NS40L,B20L,1990
HONDA,All New Jazz 1.3 S AT,2008,NS40L,B20L,1990
HONDA,All New Jazz 1.3 V AT,2008,NS40L,B20L,1990
HONDA,City,1996 - on,NS40,B20L,2003
FERRARI,"F355,F430,F599,F612",1999 - on,DIN88,DIN88,2003
FERRARI,550 Maranello,,DIN88,DIN88,2003
FERRARI,599 GTB Fiorano,,DIN88,DIN88,2003
FERRARI,612 Scaglietti,,DIN88,DIN88,2003
FERRARI,"FF, F12 Berlinetta",2014 - on,DIN88,DIN88,2003
FERRARI,"458 Italia, 488",,DIN88,DIN88,1983
FIAT UNO,ALL MODELS,1992 - 1996 ,NS50,D23L,1995
FORD,Escape 2.0L/3.0L,2003 - on,N50,D26L,1983
FORD,Escape 2.3L,1996 - 2000,NS50,D23L,1983
FORD,,2007 - on,NS50,D23L,1995
FORD,Escape 3.0 V6,2007 - on,N50,D26L,2001/2004
FORD,All New Escape 2.0/1.6 Ecoboost,2014 - on,DIN66,DIN66,1998
FORD,Everest 2.5/3.0 DuratorQ,2007 - on,N70,D31R,1998
FORD,Everest 2.3L,2000 - on,N70,D31R,2001/2004
FORD,All New Everest 2.2,2015 - on,DIN66,DIN66,
FORD,All New Everest 3.2 4x4,2015 - on,DIN77,DIN77,
FORD,Expedition,1999 - on,G65,G65,
FORD,Explorer,2000 - on,G65,G65,
FORD,Explorer 2.0 Ecoboost,2012 - on ,G58,G58,
FORD,E-150 Chateau Wagon MY,2010,G65,G65,
FORD,F150,1999 - on,G65,G65,
FORD,F150 Super Cab (4x4),,G65,G65,
FORD,Ford Fiesta 1.6 Poweshift Sports 5DT,2010,DIN44,DIN44,
FORD,Ford Fiesta 1.6 Poweshift Sports 5Dr,2010,DIN44,DIN44,
FORD,Ford Fiesta 1.6 Poweshift Sports 4Dr,2010,DIN44,DIN44,
FORD,Ford Fiesta 1.6 MT Trend 5Dr,2010,DIN44,DIN44,
FORD,Ford Fiesta 1.6 MT Trend 4Dr,2010,DIN44,DIN44,
FORD,Ford Fiesta 1.6 MT Style 4Dr,2010,DIN44,DIN44,2001/2004
FORD,Ford Fiesta 1.0 Ecoboost,2014 - on,DIN66,DIN66,
FORD,Focus,2005 - on,DIN44,DIN44,2001/2004
FORD,Focus (Diesel),2005 - on,DIN66,DIN66,1983
FORD,LYNX,1998 - on ,NS50,D23L,1998
FORD,Ranger,1999 - on,N70,D31R,1995
CHRYSLER,Caravan,1996 - on,N50,D26L,1995
CHRYSLER,Dakota,1996 - on,N50,D26L,
CHRYSLER,Durango,,G65,G65,1995
CHRYSLER,Grand Cherokee,1996 - on,N50,D26L,
CHRYSLER,Grand Cherokke,,G65,G65,2001/2004
CHRYSLER,Pacifica,2007 - on,DIN66,DIN66,1995
CHRYSLER,Ram,1996 - on,N50,D26L,1996
CHRYSLER,Ram Charger (Diesel),1996 - on,N70,D31L,1995
CHRYSLER,Ram Charger (Gasoline) ,1996 - on,N50,D26L,2001/2004
CHRYSLER,Sebring ,,DIN66,DIN66,2001/2004
CHRYSLER,Town & Country,2007 - on,DIN66,DIN66,1983
DAEWOO,Cielo,1996 - 1999,NS50,D23L,1983
DAEWOO,Espero,1995 - 1999,NS50,D23L,1995
DAEWOO,Prince,1996 - 1999,N50,D26L,1983
DAEWOO,Racer,1994 - 1999,NS50,D23L,1995
DAEWOO,Super Saloon,1989 - 1999,N50,D26L,1986/1993
DAIHATSU,Charade,1991 - 1999,NS60,B24L,1986/1993
DAIHATSU,Feroza,1989 - on,NS60,B24L,1986/1993
DAIHATSU,Hi Jet ,1989 - 1999,NS60,B24L,2001/2004
DODGE,Caliber,2007 - on,DIN66,DIN66,
DODGE,Caravan,,G34/78,G34/78,
DODGE,Challenger,,G34/78,G34/78,
DODGE,Charger,,G34/78,G34/78,
DODGE,Dakota,,G65,G65,
DODGE,Durango,,G65,G65,
DODGE,Journey ,,G34/78,G34/78,
DODGE,Magnum,,G34/78,G34/78,
DODGE,Viper,,G34/78,G34/78,
DODGE,Neon,,G34/78,G34/78,
CHEVROLET,Aveo 1.2L MT (Hatchback),2004,DIN55,DIN55R,
CHEVROLET,Aveo 1.2LS AT (Hatchback),,DIN55,DIN55R,
CHEVROLET,Aveo 1.2LS MT (Hatchback),,DIN55,DIN55R,
CHEVROLET,Aveo 1.4 Sedan AT,,DIN55,DIN55R,
CHEVROLET,Aveo 1.4 Sedan MT,,DIN55,DIN55R,
CHEVROLET,Sail,2016,DIN44,DIN44,
CHEVROLET,Camaro 2LT 3.6V6 / 25S 6.2V8,,DIN55,DIN55,
CHEVROLET,Captiva 2.0 CRDi AT 4x2 CUV,,DIN66R,DIN66R,
CHEVROLET,Captiva 2.0 CRDi AT 4x4 CUV,,DIN66R,DIN66R,
CHEVROLET,Captiva 2.0 Gas AT 4x2 CUV,,DIN66R,DIN66R,
CHEVROLET,Captiva 2.0 Gas AT 4x4 CUV,2007 - on,DIN66R,DIN66R,
CHEVROLET,Colorado (2.5/2.8CRDi),,DIN66 ,DIN67,2004
